Mission,Bestower,Day,Time
Blockade at Glimmerdeep,Ausma,1,90
Dourhands in the Deep,Ausma,1,155
Magic of the Frostbound,Ausma,1,45
The Three Wardens,Ausma,1,90
Nests of Ice,Horin,1,135
Son of the Chieftain,Horin,1,55
The Bloody Ruins,Horin,1,90
The Goblins for Gorgar,Horin,1,80
Burrowers by the Hadhodiant,Ausma,2,135
Eyes on Elderslade,Ausma,2,165
Relics of the Goldencleft,Ausma,2,160
Area of Interest,Horin,2,150
Engines of Flesh and Stone,Horin,2,90
Reclaiming the Vale-Watch,Horin,2,150
Secrets of the Frostdelf,Horin,2,160
The Shadow of Valdhellir,Horin,2,40
Collapsing the Old Paths,Ausma,3,255
The Fluttering Fires,Ausma,3,255
The Matron of the Hatchery,Ausma,3,40
Watch-Towers at the Goblin-Gate,Ausma,3,350
A New Clutch,Horin,3,135
A Taste for Battle,Horin,3,135
Raiders from Gundabad,Horin,3,185
Under Command of Trolls,Horin,3,240
A Frosty Reception,Ausma,4,165
Aiding the Bridge-Builders,Ausma,4,325
Well-Fed in Wyrmsgraf,Ausma,4,50
Goblins at Stramvarth,Horin,4,110
Halls of the Dead,Horin,4,45
The Gate Captain,Horin,4,115
The Missing Treasure,Horin,4,50
The Snows of Ker Brein,Horin,4,35
The Branches of Corruption,Ausma,5,100
The Matron of the High Pass,Ausma,5,50
The Sacrifical Tower,Ausma,5,60
Wings over Gralinvarth,Ausma,5,145
Assault on Ashmar-Zarakh,Horin,5,80
The Riches of Sundergrot,Horin,5,225
Training for Glory,Horin,5,80
Wall of Ice,Horin,5,125
Emissary at the Goblin-Gate,Ausma,6,75
Halting the Dourhands,Ausma,6,305
The Taurogrim Alliance,Ausma,6,115
Breaking Bekar-Zarakh,Horin,6,100
Hunting the Hunters,Horin,6,135
Into the Crystal Tunnels,Horin,6,105
The Den of Worms,Horin,6,40
Trouble in the Armoury,Horin,6,320
Den of the Frost-Bound,Ausma,7,70
Scatha's Legacy,Ausma,7,85
The Goblin-Town Gauntlet,Ausma,7,195
The Heart of Kidzul-Kalah,Ausma,7,80
Two Heads are Deadlier,Ausma,7,110
Archers at the Gate,Horin,7,115
The Matron of the Keep,Horin,7,95
Uncovered Treasured,Hoin,7,130
Blockade on the High Pass,Ausma,8,200
The Great Goblin's Treasure,Ausma,8,120
The Watchers of Iron,Ausma,8,220
The Bloody Ritual,Horin,8,60
The Hunting Grounds,Horin,8,140
The Last Embers of Nurz Ghashu,Horin,8,65
The Throne of Tharrazhar,Horin,8,105
The Vale-Watch Rescue,Horin,8,100
Idols of Corruption,Ausma,9,160
Invasion at the Redhorn Pass,Ausma,9,70
The Hand of Gorgar,Ausma,9,80
Abandoned Supplies,Horin,9,180
Jaws of the Dead,Horin,9,105
The Beast of Misthallow,Horin,9,90
The Chieftain's Pack,Horin,9,50
The Worm Hatchery,Horin,9,135
A Chill on the Gladdenmere,Ausma,10,65
A Glutton in the Larder,Ausma,10,60
Beasts from the Hills,Ausma,10,100
Reclaiming the Torrent-Spires,Ausma,10,190
Roots of Decay,Ausma,10,280
An Agelong Theft,Horin,10,65
An Assault of Frost,Horin,10,125
Ore Overflowing,Horin,10,190
